lblFName	lblLastName	lblIDNum	lblEmail
Dude	Man	321321321	Dude.Man@students.Kennesaw.edu
First1	Last1	999000001	First1.Last1@students.kennesaw.edu
First2	Last2	999000002	First2.Last2@students.kennesaw.edu
First3	Last3	999000003	First3.Last3@students.kennesaw.edu
First4	Last4	999000004	First4.Last4@students.kennesaw.edu
First5	Last5	999000005	First5.Last5@students.kennesaw.edu
First6	Last6	999000006	First6.Last6@students.kennesaw.edu
First7	Last7	999000007	First7.Last7@students.kennesaw.edu
First8	Last8	999000008	First8.Last8@students.kennesaw.edu
First9	Last9	999000009	First9.Last9@students.kennesaw.edu
First10	Last10	999000010	First10.Last10@students.kennesaw.edu
First11	Last11	999000011	First11.Last11@students.kennesaw.edu
John	Wayne	000000000	JohnWayne@students.kennesaw.edu
Papa	John	000000001	PapaJohn@students.kennesaw.edu
Donald	Trump	000000002	djt@students.kennesaw.edu
